id,score,title,report
jhws****,2,맨 인 블랙: 인터내셔널, 워터파크가서 발만 담궜다가 나간 느낌의 영화.--
bbbb****,10,좋아해줘, 재밌네 ㅋㅋㅋ커플들 캐미 다 잘 맞고 ㅜㅜ 김주혁 최지우 왜케 사랑스럽냐 최지우성격이 넘 러블리ㅋㅋㅋ 김주혁....보고싶네요..ㅜㅜ
itsl****,10,이웃집 토토로, 어릴적 토토로를 볼때는 아이의 입장에서 봤었는데 어느새 아이 엄마가 된 나와 딸과 같이 보러갔더니 엄마의 입장에서 보게됨아이들만 두고 병원에 있어야만 했던 엄마의 마음이 어땠을까.. 큰아이에 머리를 빗겨주는 장면에서 넘 눈물이 났음 ㅠㅠ
uvah****,9,맨 인 블랙: 인터내셔널, 7년만에 돌아오다니ㅠㅠ 감사합니다
yem4****,10,맨 인 블랙: 인터내셔널, 와 진짜 두 콤비 ㅎㅎㅎ존잼
wide****,10,알라딘, 재밌다. 어색하지않고. 너무 재밌다.
dkmt****,1,기생충, 안보길 잘 했다. 상타고 바로 다음 주 개봉하는 것 보고 볼 필요가 없는 작품이라는 것을 알았다 
0414****,8,신비아파트: 금빛 도깨비와 비밀의 동굴, 아이가 재미있어하네요
love****,5,메리 포핀스 리턴즈, 뭔가 용두사미같은 영화였는데
dmsu****,9,로나의 침묵, 결혼도 사고 파는  비참한 세상속에서  인간답게 살고 싶었던 한 여자의 슬픈 몸부림.
fdxz****,10,맨 인 블랙: 인터내셔널, 명불허전! 시리즈 전편이 다 재밌음!
ms84****,10,노리개: 그녀의 눈물, 많은사람들이보고세상이바뀌어나가길
lcol****,10,기생충, 또보고싶어요최고입니다
dlwh****,8,어린 의뢰인, 연기도 좋고 후반에 살짝 좀 깨긴 했지만...몰입하고 끝까지 봤네요.
alma****,4,엑스맨: 다크 피닉스, 엑스맨 아포칼립스에는 많이 실망했지만
love****,10,알라딘, 물랑루즈 이후로 제 최고의 뮤지컬 영화였어요 ㅠㅠㅠ  너무 아름답고 완벽한 영화라고 생각합니다.  원작을  뛰어넘는거 같아요. 강력추천합니다.
batm****,2,독고다이, 조만간 2탄 나오겠네~일진처럼~
rere****,10,나의 특별한 형제, 배우들의 연기도 좋았지만
mega****,10,똘이 장군 - 제3땅굴편, 독재자를   돼지로  묘사한건   거의   예언자같은  선견지명이네요
twks****,10,알라딘, 아이와 보기 딱 좋은 영화 입니다.
baej****,5,0.0MHz, 개연성 연출 cg너무 실망했어요무서움도 10점 만점에 곤지암7 이영화 3정도요 cg너무 싸게 만든거 아닌지 몰라요
illk****,10,기생충, 이영화 보면서 갑자기 정의당 생각이 났다 민주당에 붙어 기생하는 기생충 같단 생각이
thsk****,9,알라딘, 자스민이랑 지니에 비해 남주 연기가 영 시원치않다ㅠㅠ
jaem****,10,알라딘, 다시봐도 좋아 10년전이나 20년이나  언제봐도 그느낌 그대로임
fbi3****,10,알라딘, 여기서 센스오지는 케릭은 양탄자이다.초반 동굴에서 알라딘구해주고  공주랑 키스할수있도록알라딘 밀어주고  알라딘 물에빠졌을때 아부랑같이구해주고 마지막 알라딘 세상끝으로 갔을때지니 어깨 툭툭치면서 자기도보내달라고ㅋㅋ지니도생각지못한 센스
hane****,10,기생충, 빈부격차의 충돌된 면을 보여주는 것 같습니다. 선정적인 면이 오히려 보기 안 좋습니다. 내용은 신선하고 사회의 단면이 가정의 모습에 포함된 것 같습니다
rere****,7,어린 의뢰인, 솔직히 신파가 많이 들어가고 기존에 나오는 영화들과 많이 겹치는 부분이 많이 있다.(예:배심원들
qdqk****,10,맨 인 블랙: 인터내셔널, 오랜만에 나온 맨인블랙 역시 재미는 확실히 있다
ekdu****,10,알라딘, 23년살면서 처음으로돈내고 두번본 영화2D
zpzk****,10,어린 의뢰인, 어린것이 무슨죄라고.. 다들 어른들이 잘못이지... 미안하다... 어른들이.. 지켜주지못해서...
dldb****,1,업사이드, 원작이 훨씬 나은데 뭐지... 이사람들 무섭네
grun****,8,알라딘, OST가 단점을 모두 커버하는 영화
iyyc****,10,맨 인 블랙: 인터내셔널, 믿고보는 맨인블랙ㅎㅎ 즐거웠어요ㅎㅎ
miny****,4,악인전, 원작보다 리메이크작이 더 기대되는 영화
1stl****,5,0.0MHz, 0.0MHz 평점을 예상한 감독이 예사롭지 않다
f3sa****,10,맨 인 블랙: 인터내셔널, 기대이상으로 재밌게 봤네요 추천해요
oeun****,5,네 무덤에 침을 뱉어라, 근데 메튜는 왜죽인거냐?
ohmy****,3,기생충, 기자 평론가들이 빨고 있어서 기자 평론가 들이 우숩다
dlwh****,6,0.0MHz, cg 구린건 둘째치고 딱히 재미도 없다.
grun****,10,기생충, 절로 고개가 숙여지는 영화
jssh****,1,기생충, 아주 기분 나빠지는 영화
sjh9****,1,0.0MHz, 웹툰좀 망치지 마세요 제발
soal****,5,오블리비언, 매트릭스
pyk7****,10,자전차왕 엄복동, 으하하하윈드브레이커보는줄재밌네요
baji****,6,맨 인 블랙: 인터내셔널, 그냥 햄식이 잘생긴영화
pils****,10,어벤져스: 엔드게임, 더할나위가 없었다 3시간동안 시간이 지나가는게 이리 아쉬울줄은...
olta****,9,기생충, 볼만했다.. 그런데 이게 황금종려상이라고??? 칸도 수준이 많이 낮아졌네..
wond****,2,기생충, 이건 절대 청불용이다  등급 먹인넘 과 감독이  제정신이 아니다
deja****,8,어린 의뢰인, 영화 보다가 가슴이 너무 아파서 껐다..ㅠㅜ
liqu****,4,엑스맨: 다크 피닉스, 어설픈 시나리오와 불필요한 요소의 등장
aidi****,10,미스 스티븐스, 서로에게 위로받고 위로해주고 싶은... 귓가에 맴도는 don&amp;#39;t be sad
bill****,10,강철비, 오호.기대이상~~~^^
tige****,10,좋아해줘, 이런걸 무슨 기법 촬영이라고 함??
lala****,2,해피 투게더, 송새벽 특유의 재미와 감동이 다 무시되는영화 색소폰 연주도 풍부하지않았어요 한부분이라도좋았더라면 ..아역배우의비중이높았는데 보는내내 아 연기하네 걍 그생각으로봄..배우들이 전혀 빛나지못한영화 ㅜㅜ
athi****,9,기생충, 이유있는 씁쓸한 뒷맛.  오만가지 생각이 다 들었으면 좋겠다는 감독의 의도는 성공!
daha****,4,치에리와 체리, 여기 밑에 전부 회사분들이 댓글남기신건가용 치에리 솔직히 내용은 지루함 한국 스톱모션 애니메이션 실력으로는 짱임 그러나 내용이 별루 ㅠ
gksw****,8,너의 목소리, 일영스러운 영화입니다 잼나게 봤어요
gsm9****,6,메달리온, 킬링타임용으로도 솔직히 그저 그랬음
thwl****,9,업사이드, 울었다가 웃었다가 명작임이 틀림없다
lobr****,5,맨 인 블랙: 인터내셔널, 맨인블랙은 3편까지로 끝냈어야했다.. 새로운 캐릭터 H와 M의 케미도 생각보다 별로고 빵터지는 부분도
mude****,2,요로나의 저주, 와...이사람 영화 이제 보면 안되겠다 어의가 없을 정도네...걍 3류 공포보는줄
tkeh****,1,맨 인 블랙: 인터내셔널, 꼬우면 니들이 새로 영화 파던가.  맨인블랙  불편하는 요원이 어딧어. 그럼 우먼인 블랙을 처음부터 만들던가
luck****,1,인간중독, 여주는 그냥 대놓고 불여시에 송승헌 캐릭터는 답답ㅋㅋㅋㅋ 주연들이 너무 별로에요.. 조여정은 이 때부터 연기가 남달랐네요. 결국 세기의 사랑을 하는 듯 하지만 결국 불륜 그 이상도 이하도 아닌 레알 허무한 영화입니다
yhki****,6,엑스맨: 다크 피닉스, 레이븐만 안 됐지 뭐...
okos****,10,천로역정: 천국을 찾아서, 성경 다음으로 영향력있는 책
puls****,10,엑스맨: 다크 피닉스, 최근에 본 고질라
suns****,1,걸캅스, 알바 너무 심하네... 로긴하게 만드네....
gusg****,10,맨 인 블랙: 인터내셔널, 킬링타임용 영화 토르 좋아하면 그냥 햄식이만 보러 가세여 만원어치 영상화보 보고 왔지만 행복
ever****,9,어벤져스: 엔드게임, 기성세대도 매력을 느끼는
edod****,10,알라딘, 자스민이 진짜 주인공이었군!
quty****,1,맨 인 블랙: 인터내셔널, 이영화는 아닌듯 싶다..진심이다..
alsw****,2,맨 인 블랙: 인터내셔널, 익숙한그립감...너무기대를하고본건가..스토리자체가 뻔하고 지루해...어줍지않게 토르끼워서 마블감성팔이하는...스토리의 전중후가 뭔가어설프고 부족한느낌..
iuni****,8,세상을 바꾼 변호인, 다큐보고 봤는데 포인트잘찝어서 준수하게 연출했음. 중반이후는 쫄깃쫄깃한 법정물임. 근데 딸이 너무 뜬금없이 갑툭튀임. 다큐에서도 딸얘기는 거의 안하던데...
supe****,1,기생충, 댓글이나 평점은 믿을게 못된다는걸 새삼 느끼게 해준...
kok3****,10,세상을 바꾼 변호인, 완전 대리 만족하면서 봤다다시 한번 보고 싶을만큼흥분되는 영화였다
allo****,7,알라딘, OST 그리고 영화 속 배경은 러닝타임 동안 동화 속에 있는 듯한 느낌을 주었다. 전체적으로는 가족 영화 정도의  느낌! 특히 공주가 강력하게 Speechless를 부르지만  예상가능한 단촐한 행동이나 알라딘의 역할은 다소 아쉬웠다!
hsl0****,10,로켓맨, 개인적으로는 보헤미안 랩소디 보다 더 낫다는....연기력
1370****,1,0.0MHz, 유치해서 손발이 오그라들던데...ㄷㄷ자동차사고날때만 깜놀함 그게끝ㅋ
meir****,10,알라딘, 매우 재밋게 잘 봣습니다
odo0****,10,7광구, 이 영화를 보고 시력이 상승하였습니다.
apar****,9,고질라: 킹 오브 몬스터, 계속 부왕부왕한거 좋아한다면 재밋는영화
rjdn****,8,오늘의 연애, 엘레베이터문앞에 서서 이승기가 문채원 한테 소리치는 장면 엄청 몰입해서 봄...넌 그남자를 사랑하는게 아니라 그 남자를 사랑하는 너의 모습을 사랑하는거라고 하는 말..
odo0****,10,무서운 집, 이 영화를 보고 이제 김장 잘함
yags****,8,기생충, 가볍지만은 않은 영화였어요~~
0514****,10,어린 의뢰인, 정말 슬픕니다 다신 이런일들이 일어나지 않기를
dmad****,10,맨 인 블랙: 인터내셔널, 난 맨인블랙 전 시리즈를 본적없어서 그런지 정말 재밌었음! 편하게 보러가기 좋음!
subt****,10,어린 의뢰인, 아역 배우 부모역활 분들 고생하셨어요 보기만 해도 힘든데 연기하신다고  힘드셨을것 같아요
marl****,10,기생충, 역시 올바른 방향은 시계방향 입니다
slal****,1,맨 인 블랙: 인터내셔널, 보다가 잘뻔했습니다...
odo0****,10,클레멘타인, 이 영화를 보고 시력이 좋아졌습니다
choy****,10,기생충, 재미도 있으면서~생각하게 하는 영화~봉테일의 섬세함을 느끼다
coze****,10,맨 인 블랙: 인터내셔널, 크리스 햄스워스 정말 멋지네요. 킬링타임용으로 재미있게 보았습니다. 추천합니다.
chla****,10,액슬, 재밌어요~^^2편원해요
lo15****,2,0.0MHz, 하나도 안무섭다~ 나와 이년아 ㅋㅋㅋㅋ
gude****,10,극장판 오소마츠 6쌍둥이, 재밌었어요. 과거부분 나올때 졸귀 
noma****,10,헌터 킬러, 처음 평점 남깁니다. 정말 배우들의 연기 그리고 몰입감 장난아닙니다  지렸습니다.
gomo****,5,세상을 바꾼 변호인, 졸다 보기를 반복했어요..내 옆사람들 수시로 휴대폰 하는게 이해 될 정도 였음
ants****,1,명탐정 피카츄, 첫번째 피카츄의 더빙 목소리에러.두번째 피카츄실사화로인한 만화이미지탈피. 추억파괴.세번째 예전 스토리는 커녕 예전 등장인물도 전혀 없어서 이질감 느낌.네번째 스토리의 허접함으로 인한 감동 부재.
dlru****,6,기생충, 오늘 봤는데
s309****,10,기생충, 워낙 유명한 영화니 스포도
divl****,10,알라딘, 장면 하나하나가 너무 좋았던 영화. 소장하고싶을 정도로 완벽한 영화. 망설이지말고 꼭보세요.
divl****,10,알라딘, 장면 하나하나가 너무 좋았던 영화. 소장하고싶을 정도로 완벽한 영화. 망설이지말고 꼭보세요.
chup****,10,알라딘, 영상미
kill****,9,도학위룡, 난 주성치 영화를 보고 한번도 실망한 적이 없다
jun0****,8,프로디지, 스토리 좋고 잼나게 봤는데 결말이 해피가 아니어서 ㅜㅜ
khr5****,10,엑스맨: 다크 피닉스, 내가 기차 전투 너무 멋있어서 또 보러간다!!
oyes****,7,엑스맨: 다크 피닉스, 엑스맨은 스토리가 너무 똑같다. 이젠 끝낼때가 된것같네요
ehqh****,8,기생충, vdfve2123fds
kill****,9,가유희사, 누군가에게는 심심풀이로 볼 수 있는 영화겠지만
tree****,2,기생충, 평점이 너무 높다부자들도 더티해보이고  가난한사람들더 더욱 더티하게 그린...훌륭한 배우들 연기력에 의존한 황금종려상의 기준은 뭔가 생가하게만드는 영화미스터 선샤인이 100배 재밌다
urno****,7,더 버터플라이, 몰입감 높고 재미있는데 드 팔마 형님 처럼 좀 더 자극적이고 한번 더 꼬았으면 훨씬 더 높은 평가를 받았었을 것 같다.
gfor****,8,돈, 류준열 영화의 장점은 적어도 기본은 한다는 거다. 보고 이거 볼만한데? 하고 느꼈다. 특히 중반들어 아 늘어진다 생각들 때 갑자기 쾅 하는 사고가 나서 지루함 싹 다 날아간게 좋았다. 그 때부터 긴장감 생기기 시작함.
soom****,8,겨울왕국, 스토리는 진부함 하지만 ost만으로 그걸 채움
sbrl****,4,독고다이, 재미를 떠나서 영화가 너무 허접해서 보기가 힘듬...그나마 영화를 끝까지 볼 수 있게 만든건 현정 역활 여배우의 미모 때문.
bhki****,7,기생충, 다소 충격적이고 씁쓸한 블랙코미디
siwo****,10,죽은 시인의 사회, ㅇㅈ 녀더ㅓ더어오너엉
sapa****,10,죽은 시인의 사회, 아 게꿀잼 앙기모띠 앙기모띠
remn****,8,엑스맨: 다크 피닉스, 개인적으로 매우 재미있었던 영화였다! 엑스맨을 처음 영화관에서 봤는데 영상미도 좋았고 내용도 좋았던 영화였다 ㅎㅎ
sain****,1,맨 인 블랙: 인터내셔널, 알바 한테 속지들 마시길..!!!! 이건 누가봐도 졸잼없는 망작임 클레멘타인 수준.. 돈주고 보기 아까운영화!!!!
gbja****,10,맨 인 블랙: 인터내셔널, 재밌었습니다 화려한 볼거리는 덤ㅎㅎ
sell****,10,기생충, 정말 기발한 스토리^^
tjdg****,1,걸캅스, 왜 이영화가 평점10점인줄 알겠다
uvge****,8,맨 인 블랙: 인터내셔널, 이전편들 그 이상을 보여주는!!
cact****,8,기생충, 잘 봤습니다. 재밌었어요.
daew****,6,알라딘, 동화같은 이야기. 근데 자스민 공주가 애들 빵 주고 돈 없다고 할 때는 왤케 눈살이 찌푸려지던지. 상인에겐 그 빵이 자기 팔찌만큼 소중할 수도 있지 않을까. 이런 생각을 하는 걸 보니 나도 나이를 먹었나보다.
z1t5****,10,맨 인 블랙: 인터내셔널, 햄식이 수트입은거 진짜 멋짐
lgxe****,9,맨 인 블랙: 인터내셔널, 이 콤비로 다음편도 나와주세요~~
risi****,10,건축학개론, 20대 초반에 극장에서 본 후 20대 후반이 되어서야 다시보니 이제훈 연기가 새삼 다시 보인다. 그때는 수지와 납뜩이의 존재가 강렬했었는데 이제훈 연기 정말 잘했구나. 수지한테 몰래 첫키스 후 짓는 표정은 모두의 첫키스의 추억을 건들일 만큼 섬세하다.
pcdz****,10,맨 인 블랙: 인터내셔널, 유치할줄 알았는데 전혀 그렇지 않음
seoj****,10,죽은 시인의 사회, 앙앙기기모모띠띠 호우
doin****,8,엑스맨: 다크 피닉스, 화려한 영상은 볼만했는데 스토리가 먼가 아쉬운 듯...
rlaq****,4,어린 의뢰인, 아무리 영화라지만  딸애가 너무답답함 영화진행되면될수록 딸애때문에 너무지루함
coiu****,10,맨 인 블랙: 인터내셔널, 생각보다 재밌었고 스케일도 컸습니다
rlar****,8,명탐정 피카츄, 피커츄가 다함. 굿즈도 사고싶음
sjmx****,10,맨 인 블랙: 인터내셔널, 햄식이 너무 섹시한거 아니냐긔 ㅋㅋ
thdu****,10,나의 특별한 형제, 좀 더 흥행됏어야 하는 영화인데 아쉽네요
rlar****,9,기생충, 재밌음/ 봉중호다움/조여정의 재발견
deof****,6,안도 타다오, 인간 안도가 궁금했는데 안도의 작품 포트폴리오 영상이 되어버렸다.
carl****,10,맨 인 블랙: 인터내셔널, 오~잘만듬...맨인블랙 1편 다음으로 잘만든 영화....가족끼리 봐도 괜찮은 영화...굿~
daew****,10,기생충, 불편했다. 중반부터는 도저히 보기 힘들어서 핸드폰을 만지작거렸다. 그럼에도 일주일 넘게 여운이 남는 이유는 대체 뭔지...
youn****,10,맨 인 블랙: 인터내셔널, 사람마다 영화 보는 기준이 다 다른거 재미있다고 했다고 알바냐고 단정짓기보다 그냥 각자 보고 판단하세요 저는 전작에 대한 기대 안해서 킬링타임용으로 괜찮았어요 
popy****,6,나는 섹스 중독자, 새삼 유년기의 중요성...ㅜㅠ;;;
kokq****,10,맨 인 블랙: 인터내셔널, 햄식이 요즘 너무 좋음 ㅋ우주 구하러 가기전에 지구 구하러온거ㅛㄳ?
dod4****,10,맨 인 블랙: 인터내셔널, 솔직히 웃기긴 했습니다
hee6****,4,맨 인 블랙: 인터내셔널, 스토리가 밍숭밍숭 하고 유치 하기 짝이 없는  초.중고생 수준에 맞는 스토리에 액션도 예고편에 보여주는 장면이 전부이고
kmu6****,4,맨 인 블랙: 인터내셔널, 개그씬들이 빵빵 안터지니까 그 부분들이 지루하게 느껴지는데 그런 분량이 너무 많음
cmss****,8,악인전, 결말이 만족스러운영화입니다
hiem****,10,기생충, 기생충에 나온 모든 배우들 흥하시길 바랍니다!
sabo****,10,알라딘, 4dx볼때 겉옷챙겨가셔요~^^졸잼 꿀잼
kwon****,1,맨 인 블랙: 인터내셔널, 국산 B급 영화만도 못한 이런 쓰레기 영화를 칭찬하는 애들은 뭐냐? 씬 바뀔때마다 주인공들 두둥! 등장 좀 하지마라 아주 아주....처참한 최악의 영화
24es****,10,배심원들, 보이는것만으로 판단하지말아라..모두평등하다 라는 주제를 위트있게 풀어나가네요~  특히 거만한 사법부 판사 공무원 일반인에대한 비판이 위트있게 녹아있어서 울림있게 봤어요~ 자극적인 폭행씬 살인 귀신 다루는 영화들보다 훨씬기분좋게영화답게 봤네요!
flcd****,10,기생충, 최근 본 영화중에 제일 신선한 영화였습니다
tlst****,10,알라딘, 감동 그자체 나오미스콧미모에 감탄!
miyo****,6,기생충, 절대 청소년과 같이 볼 영화수중은 아닙니당애들하고 보다 딱 한장면이지만 15세 관람은 절대아닌듯.. 놀라고 민망해 죽는줄.. 
clea****,6,블루 스톰, 더울때 시원하게 볼만한 영화
kimk****,10,알라딘, 최고...노래 춤 배우들 너무 완벽한영화였다
silv****,10,기생충, 나에게서는 어떤 냄새가 날까??? 누군가의 냄새에 난 눈살을 찌푸린 적이 없었던가???
scat****,10,호텔 뭄바이, 진짜 개잼....의심했던 저를 후회합니다
choi****,1,왓칭, 프레미엄 티비로 봤다. 감독 널 왓칭하겠다. 앞으로 제대로 된 영화 만드는지!
